Envelope,From,To,Date,year,period_label,period_color,placeFrom,placeTo,lat_from,lon_from,lat_to,lon_to,tooltip
S176,Angela Gana,Luis Mitrovic Balbontín,22-11-1961,1961.0,Chilean (1938–1970 / 1986–2008),#16A085,"London, UK","Santiago, Chile",51.5074,-0.1278,-33.4489,-70.6693,1961 · Angela Gana → Luis Mitrovic Balbontín
S177,Angela Gana,Luis Mitrovic Balbontín,16-11-1961,1961.0,Chilean (1938–1970 / 1986–2008),#16A085,"London, UK","Santiago, Chile",51.5074,-0.1278,-33.4489,-70.6693,1961 · Angela Gana → Luis Mitrovic Balbontín
S178,Angela Gana,Luis Mitrovic Balbontín,22-12-1961,1961.0,Chilean (1938–1970 / 1986–2008),#16A085,"New York, United States","Santiago, Chile",40.7128,-74.006,-33.4489,-70.6693,1961 · Angela Gana → Luis Mitrovic Balbontín
S179,Angela Gana,Luis Mitrovic Balbontín,17-11-1961,1961.0,Chilean (1938–1970 / 1986–2008),#16A085,"London, UK","Santiago, Chile",51.5074,-0.1278,-33.4489,-70.6693,1961 · Angela Gana → Luis Mitrovic Balbontín
S57,Peter Behrens,Luis Mitrovic Balbontín,21-06-1935,1935.0,European (1934–1938),#9B59B6,"Vienna, Austria","Vienna, Austria",48.2082,16.3738,48.2082,16.3738,1935 · Peter Behrens → Luis Mitrovic Balbontín
S54A,Baburizza & Company LTD,Luis Mitrovic Balbontín,12-09-1935,1935.0,European (1934–1938),#9B59B6,"London, UK","Vienna, Austria",51.5074,-0.1278,48.2082,16.3738,1935 · Baburizza & Company LTD → Luis Mitrovic Balbontín
S54B,Baburizza & Company LTD,Luis Mitrovic Balbontín,24-11-1936,1936.0,European (1934–1938),#9B59B6,"London, UK","Vienna, Austria",51.5074,-0.1278,48.2082,16.3738,1936 · Baburizza & Company LTD → Luis Mitrovic Balbontín
S59A,John Grisar,Luis Mitrovic Balbontín,14-08-1935,1935.0,European (1934–1938),#9B59B6,"Hamburg, Germany","Dubrovnik, Croatia",53.5753,10.0153,42.6507,18.0944,1935 · John Grisar → Luis Mitrovic Balbontín
S59B,John Grisar,Luis Mitrovic Balbontín,13-08-1935,1935.0,European (1934–1938),#9B59B6,"Hamburg, Germany","Dubrovnik, Croatia",53.5753,10.0153,42.6507,18.0944,1935 · John Grisar → Luis Mitrovic Balbontín
S60,John Grisar,Luis Mitrovic Balbontín,21-09-1935,1935.0,European (1934–1938),#9B59B6,"Hamburg, Germany","Vienna, Austria",53.5753,10.0153,48.2082,16.3738,1935 · John Grisar → Luis Mitrovic Balbontín
S61,Jorge Hubner Gallo,Luis Mitrovic Balbontín,08-01-1936,1936.0,European (1934–1938),#9B59B6,"Warsow, Poland","Weimar, Germany",52.2297,21.0122,50.9795,11.3235,1936 · Jorge Hubner Gallo → Luis Mitrovic Balbontín
S62,Unknown,Luis Mitrovic,30-11-1935,1935.0,European (1934–1938),#9B59B6,"Lima, Peru","Weimar, Germany",-12.0464,-77.0428,50.9795,11.3235,1935 · Unknown → Luis Mitrovic
S63,Unknown,Luis Mitrovic Balbontín,07-12-1934,1934.0,European (1934–1938),#9B59B6,"Vienna, Austria","Vienna, Austria",48.2082,16.3738,48.2082,16.3738,1934 · Unknown → Luis Mitrovic Balbontín
S68,Rolf Altenburger,Luis Mitrovic Balbontín,09-06-1937,1937.0,European (1934–1938),#9B59B6,"Solothurn, Switzerland","Vienna, Austria",47.2088,7.536,48.2082,16.3738,1937 · Rolf Altenburger → Luis Mitrovic Balbontín
