Envelope,From,To,Date,year,period_label,period_color,mitrovic_place,mitrovic_lat,mitrovic_lon,tooltip,carta_count
S194,Juan Echenique Guzmán; Pilola Celis,Luis Mitrovic Balbontín,20-05-1977,1977.0,United States (1971–1985),#D4AC0D,"Brookline, Massachusetts, USA",42.3318,-71.1212,1977 · Juan Echenique Guzmán; Pilola Celis → Luis Mitrovic Balbontín,2
S195,Ricardo Ahumada,Luis Mitrovic Balbontín,20-10-1936,1936.0,European (1934–1938),#9B59B6,"Vienna, Austria",48.2082,16.3738,1936 · Ricardo Ahumada → Luis Mitrovic Balbontín,21
S196A,Baburizza & Company LTD,Luis Mitrovic Balbontín,27-11-1935,1935.0,European (1934–1938),#9B59B6,"Weimar, Germany",50.9795,11.3235,1935 · Baburizza & Company LTD → Luis Mitrovic Balbontín,21
S196B,Baburizza & Company LTD,Luis Mitrovic Balbontín,18-10-1935,1935.0,European (1934–1938),#9B59B6,"Weimar, Germany",50.9795,11.3235,1935 · Baburizza & Company LTD → Luis Mitrovic Balbontín,21
S197,John G. Dijkstra,Luis Mitrovic Balbontín,04-05-1992,1992.0,Chilean (1938–1970 / 1986–2008),#16A085,"Santiago, Chile",-33.4489,-70.6693,1992 · John G. Dijkstra → Luis Mitrovic Balbontín,64
S198,John G. Dijkstra,Luis Mitrovic Balbontín,17-01-1990,1990.0,Chilean (1938–1970 / 1986–2008),#16A085,"Santiago, Chile",-33.4489,-70.6693,1990 · John G. Dijkstra → Luis Mitrovic Balbontín,64
S199,John G. Dijkstra,Luis Mitrovic Balbontín,27-03-1993,1993.0,Chilean (1938–1970 / 1986–2008),#16A085,"Santiago, Chile",-33.4489,-70.6693,1993 · John G. Dijkstra → Luis Mitrovic Balbontín,64
S200,John G. Dijkstra,Luis Mitrovic Balbontín,26-01-1991,1991.0,Chilean (1938–1970 / 1986–2008),#16A085,"Santiago, Chile",-33.4489,-70.6693,1991 · John G. Dijkstra → Luis Mitrovic Balbontín,64
S202,Luis Mitrovic Balbontín,John G. Dijkstra,09-04-1992,1992.0,Chilean (1938–1970 / 1986–2008),#16A085,"Santiago, Chile",-33.4489,-70.6693,1992 · Luis Mitrovic Balbontín → John G. Dijkstra,64
S25A,Luis Mitrovic Balbontín,Luis Vera,05-01-1977,1977.0,United States (1971–1985),#D4AC0D,"Washington, USA",38.9072,-77.0369,1977 · Luis Mitrovic Balbontín → Luis Vera,1
S25B,John C. Harkness,Luis Mitrovic Balbontín,09-03-1978,1978.0,United States (1971–1985),#D4AC0D,"Boston, Massachusetts, USA",42.3601,-71.0589,1978 · John C. Harkness → Luis Mitrovic Balbontín,5
S32,Eugene Dubois,Luis Mitrovic Balbontín,22-01-1944,1944.0,Chilean (1938–1970 / 1986–2008),#16A085,"Santiago, Chile",-33.4489,-70.6693,1944 · Eugene Dubois → Luis Mitrovic Balbontín,64
S40,Nora,Luis Mitrovic Balbontín,04-12-1969,1969.0,Chilean (1938–1970 / 1986–2008),#16A085,"Santiago, Chile",-33.4489,-70.6693,1969 · Nora → Luis Mitrovic Balbontín,64
S41,Nora,Luis Mitrovic Balbontín,18-12-1968,1968.0,Chilean (1938–1970 / 1986–2008),#16A085,"Santiago, Chile",-33.4489,-70.6693,1968 · Nora → Luis Mitrovic Balbontín,64
S43,Rolf Altenburger,Luis Mitrovic Balbontín,30-06-1991,1991.0,Chilean (1938–1970 / 1986–2008),#16A085,"Santiago, Chile",-33.4489,-70.6693,1991 · Rolf Altenburger → Luis Mitrovic Balbontín,64
S44,Fernando Migliassi,Luis Mitrovic Balbontín,30-07-2006,2006.0,Chilean (1938–1970 / 1986–2008),#16A085,"Santiago, Chile",-33.4489,-70.6693,2006 · Fernando Migliassi → Luis Mitrovic Balbontín,64
S46A,Club Alemán de Excursionismo,Luis Mitrovic Balbontín,27-09-1934,1934.0,European (1934–1938),#9B59B6,"Vienna, Austria",48.2082,16.3738,1934 · Club Alemán de Excursionismo → Luis Mitrovic Balbontín,21
S46B,Luis Mitrovic Balbontín,Club Alemán de Excursionismo,27-09-1934,1934.0,European (1934–1938),#9B59B6,"Santiago, Chile",-33.4489,-70.6693,1934 · Luis Mitrovic Balbontín → Club Alemán de Excursionismo,64
S47,Club Alemán de Excursionismo,Luis Mitrovic Balbontín,27-01-1935,1935.0,European (1934–1938),#9B59B6,"Vienna, Austria",48.2082,16.3738,1935 · Club Alemán de Excursionismo → Luis Mitrovic Balbontín,21
S50,Luis Mitrovic Balbontín,Strip and Eleonor,01-01-2000,2000.0,Chilean (1938–1970 / 1986–2008),#16A085,"Santiago, Chile",-33.4489,-70.6693,2000 · Luis Mitrovic Balbontín → Strip and Eleonor,64
S53,Ximena,Luis Mitrovic Balbontín,01-01-1942,1942.0,Chilean (1938–1970 / 1986–2008),#16A085,"Santiago, Chile",-33.4489,-70.6693,1942 · Ximena → Luis Mitrovic Balbontín,64
S55,Cucho Errázuriz,Luis Mitrovic Balbontín,06-03-1941,1941.0,Chilean (1938–1970 / 1986–2008),#16A085,"Santiago, Chile",-33.4489,-70.6693,1941 · Cucho Errázuriz → Luis Mitrovic Balbontín,64
S56,Thomas H. Wesley,Luis Mitrovic Balbontín,15-04-1953,1953.0,Chilean (1938–1970 / 1986–2008),#16A085,"Santiago, Chile",-33.4489,-70.6693,1953 · Thomas H. Wesley → Luis Mitrovic Balbontín,64
